Tutorial Group,Assigned Team,Student ID,Name,School,Gender,CGPA
G-1,Team 1,1329,Nguyen Van Sam,NIE,Male,3.85
G-1,Team 1,3861,Layla Torres,ASE,Female,4.52
G-1,Team 1,1645,Zachary Wu,CoE,Male,3.93
G-1,Team 1,4402,Grace Turner,CCDS,Female,4.08
G-1,Team 1,945,Han Li,MAE,Female,4.1
G-1,Team 2,3148,Gabriel Young,EEE,Male,3.88
G-1,Team 2,2069,Kathy Lau,SSS,Female,4.48
G-1,Team 2,2353,Karen Wong,SBS,Female,3.95
G-1,Team 2,1075,Felix Yip,CoB (NBS),Male,4.08
G-1,Team 2,2650,Nurul Shafika,SoH,Female,4.09
G-1,Team 3,2417,Truong Minh Chau,SSS,Female,3.88
G-1,Team 3,809,Nisha Das,CoB (NBS),Female,4.26
G-1,Team 3,3989,Anthony Liu,WKW SCI,Male,4.15
G-1,Team 3,5477,Vikram Desai,SoH,Male,4.09
G-1,Team 3,4479,Amelia Kim,CCDS,Female,4.11
G-1,Team 4,2326,Vivi Dwi,CoB (NBS),Female,3.95
G-1,Team 4,4338,Sana Jain,SPMS,Female,4.22
G-1,Team 4,1417,Darren Lee,CoE,Male,4.12
G-1,Team 4,4520,Henry Foster,EEE,Male,4.11
G-1,Team 4,162,Lila Patel,SSS,Female,4.07
G-1,Team 5,4657,Oleg Petrovich,SoH,Male,4.0
G-1,Team 5,4820,Meera Singh,CoE,Female,4.22
G-1,Team 5,588,Lucas Walker,MAE,Male,4.06
G-1,Team 5,592,Zara Chang,MSE,Female,4.11
G-1,Team 5,2818,Oliver Tan,CoB (NBS),Male,4.09
G-1,Team 6,288,Ajay Verma,CoB (NBS),Male,4.01
G-1,Team 6,659,Maria Ivanovna,SSS,Female,4.2
G-1,Team 6,235,Ming Zhang,CCDS,Male,4.06
G-1,Team 6,5703,Karen Lee,SPMS,Female,4.12
G-1,Team 6,527,Mohit Desai,EEE,Male,4.06
G-1,Team 7,4563,Anjali Patel,WKW SCI,Female,4.01
G-1,Team 7,5708,Ananya Ramesh,SoH,Male,4.2
G-1,Team 7,3628,Omer Ahmed,EEE,Male,4.06
G-1,Team 7,1271,Priya Singh,SSS,Female,4.17
G-1,Team 7,5119,Nhung Vu,ADM,Female,4.04
G-1,Team 8,5002,Aarav Singh,CCDS,Male,4.02
G-1,Team 8,2091,Adlan Bin Rahman,EEE,Male,4.2
G-1,Team 8,1555,Prerna Gupta,MAE,Female,4.04
G-1,Team 8,2230,Harlow Wang,CoB (NBS),Female,4.18
G-1,Team 8,2776,Siddharth Nair,CCEB,Male,4.14
G-1,Team 9,2151,Mei Hong,EEE,Female,4.02
G-1,Team 9,71,Savannah Taylor,SoH,Female,4.19
G-1,Team 9,1841,Jett Morales,MAE,Male,4.12
G-1,Team 9,4576,Jie Zhang,EEE,Male,4.03
G-1,Team 9,1383,Areeba Khan,CoB (NBS),Female,4.19
G-1,Team 10,2115,Anya Kumar,EEE,Female,4.03
G-1,Team 10,3930,Xun Wei,EEE,Female,4.18
G-1,Team 10,75,Sakina Ahmed,CCDS,Female,4.03
G-1,Team 10,3838,Aarti Nair,EEE,Female,4.05
G-10,Team 1,3903,Xiao Chen,CoE,Male,3.86
G-10,Team 1,4077,Yasir Ahmad,SoH,Male,4.52
G-10,Team 1,3364,Rhea Kapoor,MAE,Female,4.0
G-10,Team 1,5420,Nina Patil,NIE,Female,4.1
G-10,Team 1,5624,Cheng Zhang,EEE,Male,4.11
G-10,Team 2,2405,Soo-Young Kim,ASE,Female,3.88
G-10,Team 2,403,Hae-Jin Lee,SoH,Female,4.52
G-10,Team 2,3395,Michael Miller,CoB (NBS),Male,3.95
G-10,Team 2,223,Jaxon Hall,MAE,Male,4.12
G-10,Team 2,5121,Ximena Fernandez,MSE,Female,4.12
G-10,Team 3,2581,Alyssa Green,ASE,Female,3.94
G-10,Team 3,4308,Sho Nakajima,MAE,Male,4.27
G-10,Team 3,565,Isaiah Scott,SoH,Male,4.15
G-10,Team 3,171,Nina Bennett,CCEB,Female,4.08
G-10,Team 3,435,Kiran Farooq,WKW SCI,Female,4.15
G-10,Team 4,3388,Zaki Bin Ibrahim,EEE,Male,4.0
G-10,Team 4,3499,Kira Yamada,CCDS,Female,4.26
G-10,Team 4,560,Ayesha Javed,SoH,Female,4.09
G-10,Team 4,4020,Leo Xu,CoB (NBS),Male,4.12
G-10,Team 4,4108,Rizan Bin Ahmad,MAE,Male,4.11
G-10,Team 5,5122,Kerry Lim,CCEB,Female,4.01
G-10,Team 5,4477,Yuzhi,SPMS,Male,4.25
G-10,Team 5,298,Freya Chen,MAE,Female,4.09
G-10,Team 5,2255,Xander Cook,CoE,Male,4.1
G-10,Team 5,3794,Christopher Miller,CoB (NBS),Male,4.17
G-10,Team 6,3963,Yasmine Villanueva,SSS,Female,4.02
G-10,Team 6,2863,Will Chen,MAE,Male,4.23
G-10,Team 6,611,Hendra Mulyana,SPMS,Male,4.1
G-10,Team 6,3189,Rhea Lee,CCEB,Female,4.07
G-10,Team 6,2253,Dante Wu,EEE,Male,4.18
G-10,Team 7,5734,Hassan Malik,MAE,Male,4.03
G-10,Team 7,2857,Tianming,SoH,Female,4.2
G-10,Team 7,2031,Kendrick Alvarado,CCDS,Male,4.18
G-10,Team 7,4588,Paula Wong,CoB (NBS),Female,4.06
G-10,Team 7,3843,Mia Zhang,EEE,Female,4.18
G-10,Team 8,3111,Marco Garcia,CEE,Male,4.04
G-10,Team 8,16,Tatum Flores,EEE,Female,4.2
G-10,Team 8,3329,Adrian Castillo,MAE,Male,4.07
G-10,Team 8,1139,Nurul Aini Binti Ahmad,SPMS,Female,4.2
G-10,Team 8,3841,Benjamin Turner,SBS,Male,4.06
G-10,Team 9,2515,Tanya Lee,CoE,Female,4.04
G-10,Team 9,5856,Sophie Cheung,MAE,Female,4.2
G-10,Team 9,3051,Hunter Wilson,LKCMedicine,Male,4.06
G-10,Team 9,3732,Liam Jones,CCDS,Male,4.2
G-10,Team 9,5695,Rhys Tan,WKW SCI,Male,4.06
G-10,Team 10,375,Kaya Chang,SBS,Female,4.05
G-10,Team 10,594,Ananya Singh,MAE,Female,4.2
G-10,Team 10,516,Tao Liu,ADM,Male,4.05
G-10,Team 10,1468,Ming Wei,MAE,Male,4.19
G-10,Team 10,2631,Kiara Lin,CCDS,Female,4.06
G-100,Team 1,3242,Aiden Brown,WKW SCI,Male,3.9
G-100,Team 1,424,Ashok Nair,CEE,Male,4.52
G-100,Team 1,2468,Bella Perry,EEE,Female,3.9
G-100,Team 1,491,Fangling,CoB (NBS),Female,4.05
G-100,Team 1,4888,Carter Moore,NIE,Male,4.1
G-100,Team 2,2009,Isabella Thomas,CCDS,Female,3.9
G-100,Team 2,5269,Anjali Nair,MSE,Female,4.27
G-100,Team 2,5945,Fergus Mendoza,CoB (NBS),Male,4.11
G-100,Team 2,745,Khalid Rahman,CEE,Male,4.1
G-100,Team 2,1145,Fay Tan,CCEB,Female,4.09
G-100,Team 3,2017,Caiyun,CoE,Male,3.91
G-100,Team 3,1824,Yuanqing,MAE,Female,4.25
G-100,Team 3,4043,Adrian King,CCDS,Male,4.12
G-100,Team 3,4283,Hassan Farooq,ADM,Female,4.1
G-100,Team 3,1683,Diya Nair,SSS,Female,4.11
G-100,Team 4,347,Meera Menon,EEE,Female,3.92
G-100,Team 4,4061,Naina Gupta,CCEB,Female,4.2
G-100,Team 4,861,Hua Zhang,MSE,Male,4.17
G-100,Team 4,356,Yasir Qureshi,CoE,Male,4.08
G-100,Team 4,1875,Rachel Lee,SoH,Female,4.11
G-100,Team 5,438,Iris Rivera,MAE,Female,3.95
G-100,Team 5,1547,Margaret Li,CCEB,Female,4.2
G-100,Team 5,2603,Ali Rehman,CoE,Male,4.14
G-100,Team 5,4857,Jordan Chen,EEE,Male,4.06
G-100,Team 5,4425,Carla Wang,ASE,Female,4.12
G-100,Team 6,1176,Mia Hall,CCDS,Female,3.95
G-100,Team 6,701,Ameer Bin Rahman,CoB (NBS),Male,4.2
G-100,Team 6,1795,Tao Wang,SSS,Female,4.12
G-100,Team 6,2000,Danty Susanto,NIE,Male,4.05
G-100,Team 6,2346,Fiona Clark,EEE,Female,4.15
G-100,Team 7,5743,Bradley Huang,EEE,Male,4.01
G-100,Team 7,412,Seema Kapoor,MAE,Female,4.19
G-100,Team 7,4743,Jack Foster,SPMS,Male,4.05
G-100,Team 7,2332,Maya Ong,CoB (NBS),Female,4.14
G-100,Team 7,5534,Neelam Bhatia,SSS,Female,4.05
G-100,Team 8,5953,Orlando Wu,SBS,Male,4.01
G-100,Team 8,5791,Peter Choi,EEE,Male,4.19
G-100,Team 8,2097,Siti Maryam,CoB (NBS),Female,4.03
G-100,Team 8,4268,Nadia Binti Azhar,CCEB,Female,4.15
G-100,Team 8,731,Tae-Soo Kim,WKW SCI,Male,4.05
G-100,Team 9,2089,Han Zhang,CoB (NBS),Male,4.02
G-100,Team 9,3280,Alina Malik,CoB (NBS),Female,4.19
G-100,Team 9,370,Mia Wong,EEE,Female,4.03
G-100,Team 9,2040,Wesley Turner,SoH,Male,4.17
